name,line
LAERTES,"In thews and bulk, but, as this temple waxes,"
LAERTES,The inward service of the mind and soul
LAERTES,"Grows wide withal. Perhaps he loves you now,"
LAERTES,And now no soil nor cautel doth besmirch
LAERTES,"The virtue of his will: but you must fear,"
LAERTES,"His greatness weigh'd, his will is not his own,"
LAERTES,For he himself is subject to his birth:
LAERTES,"He may not, as unvalued persons do,"
LAERTES,"Carve for himself, for on his choice depends"
LAERTES,"The safety and health of this whole state,"
LAERTES,And therefore must his choice be circumscribed
LAERTES,Unto the voice and yielding of that body
LAERTES,"Whereof he is the head. Then if he says he loves you,"
LAERTES,It fits your wisdom so far to believe it
LAERTES,As he in his particular act and place
LAERTES,"May give his saying deed, which is no further"
LAERTES,Than the main voice of Denmark goes withal.
LAERTES,"Then weigh what loss your honour may sustain,"
LAERTES,"If with too credent ear you list his songs,"
LAERTES,"Or lose your heart, or your chaste treasure open"
LAERTES,To his unmaster'd importunity.
LAERTES,"Fear it, Ophelia, fear it, my dear sister,"
LAERTES,"And keep you in the rear of your affection,"
LAERTES,Out of the shot and danger of desire.
LAERTES,"The chariest maid is prodigal enough,"
LAERTES,If she unmask her beauty to the moon:
LAERTES,Virtue itself 'scapes not calumnious strokes:
LAERTES,"The canker galls the infants of the spring,"
LAERTES,"Too oft before their buttons be disclosed,"
LAERTES,And in the morn and liquid dew of youth
LAERTES,Contagious blastments are most imminent.
LAERTES,"Be wary then, best safety lies in fear:"
LAERTES,"Youth to itself rebels, though none else near."
OPHELIA,"I shall the effect of this good lesson keep,"
OPHELIA,"As watchman to my heart. But, good my brother,"
OPHELIA,"Do not, as some ungracious pastors do,"
OPHELIA,"Show me the steep and thorny way to heaven,"
OPHELIA,"Whiles, like a puff'd and reckless libertine,"
OPHELIA,"Himself the primrose path of dalliance treads,"
OPHELIA,And recks not his own rede.
LAERTES,"O, fear me not."
LAERTES,I stay too long: but here my father comes.
LAERTES,Enter POLONIUS
LAERTES,"A double blessing is a double grace,"
LAERTES,Occasion smiles upon a second leave.
LORD POLONIUS,"Yet here, Laertes! aboard, aboard, for shame!"
LORD POLONIUS,"The wind sits in the shoulder of your sail,"
LORD POLONIUS,"And you are stay'd for. There, my blessing with thee!"
LORD POLONIUS,And these few precepts in thy memory
LORD POLONIUS,"See thou character. Give thy thoughts no tongue,"
LORD POLONIUS,Nor any unproportioned thought his act.
LORD POLONIUS,"Be thou familiar, but by no means vulgar."
LORD POLONIUS,"Those friends thou hast, and their adoption tried,"
LORD POLONIUS,"Grapple them to thy soul with hoops of steel,"
LORD POLONIUS,But do not dull thy palm with entertainment
LORD POLONIUS,"Of each new-hatch'd, unfledged comrade. Beware"
LORD POLONIUS,"Of entrance to a quarrel, but being in,"
LORD POLONIUS,Bear't that the opposed may beware of thee.
LORD POLONIUS,"Give every man thy ear, but few thy voice,"
LORD POLONIUS,"Take each man's censure, but reserve thy judgment."
LORD POLONIUS,"Costly thy habit as thy purse can buy,"
LORD POLONIUS,"But not express'd in fancy, rich, not gaudy,"
LORD POLONIUS,"For the apparel oft proclaims the man,"
LORD POLONIUS,And they in France of the best rank and station
LORD POLONIUS,Are of a most select and generous chief in that.
LORD POLONIUS,"Neither a borrower nor a lender be,"
LORD POLONIUS,"For loan oft loses both itself and friend,"
LORD POLONIUS,And borrowing dulls the edge of husbandry.
LORD POLONIUS,"This above all: to thine ownself be true,"
LORD POLONIUS,"And it must follow, as the night the day,"
LORD POLONIUS,Thou canst not then be false to any man.
LORD POLONIUS,Farewell: my blessing season this in thee!
LAERTES,"Most humbly do I take my leave, my lord."
LORD POLONIUS,"The time invites you, go, your servants tend."
LAERTES,"Farewell, Ophelia, and remember well"
